DayUTC,DOY,Sector,Mu,PitchAngle_deg,Flux,FluxUncertainty,SectorSamples
2004-08-08,221,1,0.393134864176005,66.8502990174935,0.191734366225265,0.00783332118061641,16
2004-08-08,221,2,0.916754094817083,23.5439271178238,0.140071375402343,0.00684165064910656,30
2004-08-08,221,3,0.903351210075384,25.3978737467691,0.137241584055426,0.0066608573152448,31
2004-08-08,221,4,0.360777438057672,68.8520511718118,0.205537315026221,0.00815178717169883,31
2004-08-08,221,5,-0.393134864176005,113.149700982507,0.327878017322943,0.010297286230142,31
2004-08-08,221,6,-0.916754094817083,156.456072882176,0.712416081257663,0.0151692526051666,31
2004-08-08,221,7,-0.903351210075384,154.602126253231,0.755495506742737,0.0156177333593608,31
2004-08-09,222,1,0.232578535098584,76.5510714300105,0.176239905954646,0.00744170429242295,16
2004-08-09,222,2,0.76914712031716,39.7226373400007,0.159786504033497,0.00730787901528218,30
2004-08-09,222,3,0.855159753914154,31.2226118105005,0.145450163975026,0.00697216562996147,30
2004-08-09,222,4,0.440231401663875,63.8813535966756,0.193082273375889,0.00802935420917151,30
2004-08-09,222,5,-0.232578535098584,103.448928569989,0.167134362525982,0.00747339889759279,30
2004-08-09,222,6,-0.76914712031716,140.277362659999,0.215763839336302,0.00849041170958705,30
2004-08-09,222,7,-0.855159753914154,148.777388189499,0.277659028484921,0.00962422469315419,30
2004-08-10,223,1,0.389406483962837,67.0824258563578,0.247990237241072,0.00908506916909412,16
2004-08-10,223,2,0.79136616228762,37.6866346195175,0.22613699250567,0.00869132648428893,30
2004-08-10,223,3,0.729754275547463,43.1342019380639,0.219755825854142,0.00856853416575668,30
2004-08-10,223,4,0.240662231391355,76.0743709202424,0.256485100243135,0.00925805370011738,30
2004-08-10,223,5,-0.389406483962837,112.917574143642,0.230982971036909,0.00878246658321141,30
2004-08-10,223,6,-0.79136616228762,142.313365380482,0.263554567974897,0.00923039365805083,31
2004-08-10,223,7,-0.729754275547463,136.865798061936,0.296587579553437,0.00978798706382466,31
2004-08-11,224,1,0.396768386147338,66.6236904945191,0.45019109320783,0.0114112068448673,23
2004-08-11,224,2,0.925537281359136,22.2504876362881,0.299747703775434,0.00900880351240039,37
2004-08-11,224,3,0.912138989632676,24.1973618827581,0.296392124614256,0.00908127610189061,36
2004-08-11,224,4,0.364422048548686,68.6279810824327,0.395810911501691,0.010354686057862,37
2004-08-11,224,5,-0.396768386147338,113.376309505481,0.577547868872705,0.012504312182158,37
2004-08-11,224,6,-0.925537281359136,157.749512363712,0.855483584172385,0.0152142992299011,37
2004-08-11,224,7,-0.912138989632676,155.802638117242,0.91457748384567,0.0155218122111548,38
